"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"11","B cell","Myeloid","LST1",0.187816047481137,19.3899782135076
"11","B cell","Myeloid","FCN1",0,0
"11","B cell","pDC","CLEC4C",0.0140261816335639,1.52505446623094
"11","B cell","pDC","LILRA4",0.048250639312263,5.44662309368192
"11","B cell","pDC","TCF4",0.720793113438177,59.2592592592593
"11","B cell","Erythroid","HBB",0.0455628061560573,3.92156862745098
"11","B cell","Erythroid","ALAS2",0,0
"11","B cell","Erythroid","AHSP",0,0
"11","B cell","Cytotoxic","NKG7",0.0433478149416443,4.79302832244009
"11","B cell","Cytotoxic","GNLY",0.00785391683150438,0.65359477124183
"11","B cell","Cytotoxic","KLRD1",0,0
"11","B cell","Cell cycle","MKI67",0.0195890890463,1.74291938997821
"11","B cell","Cell cycle","TOP2A",0.0179210505449176,2.17864923747277
"11","B cell","Cell cycle","UBE2C",0.0100329079187198,1.08932461873638
"12","T-lineage candidate","T lineage","CD3D",1.14889832896081,62.7118644067797
"12","T-lineage candidate","T lineage","CD3E",1.05435163758559,58.5956416464891
"12","T-lineage candidate","T lineage","TRAC",0.226166137082488,11.3801452784504
"12","T-lineage candidate","T lineage","CD5",0.16442823114526,14.2857142857143
"12","T-lineage candidate","T lineage","CD7",1.25853179673761,60.5326876513317
"12","T-lineage candidate","Immaturity","DNTT",0.847548551821992,45.5205811138014
"12","T-lineage candidate","Immaturity","PTCRA",0.280270223779531,20.0968523002421
"12","T-lineage candidate","Immaturity","CD34",0.00973333516083177,0.484261501210654
"12","T-lineage candidate","Immaturity","SOX4",2.72513979980561,91.5254237288136
"12","T-lineage candidate","B cell","MS4A1",0,0
"12","T-lineage candidate","B cell","CD79A",0.304676918636014,23.0024213075061
"12","T-lineage candidate","B cell","CD79B",0.0675374450154137,6.77966101694915
"12","T-lineage candidate","Myeloid","LYZ",0.0302547644313703,1.93704600484262
"12","T-lineage candidate","Myeloid","LST1",0.433344598620259,32.4455205811138
"12","T-lineage candidate","Myeloid","FCN1",0.0221950785147664,1.21065375302663
"12","T-lineage candidate","pDC","CLEC4C",0,0
"12","T-lineage candidate","pDC","LILRA4",0,0
"12","T-lineage candidate","pDC","TCF4",0.0330288942743873,2.90556900726392
"12","T-lineage candidate","Erythroid","HBB",0.141559223266701,6.77966101694915
"12","T-lineage candidate","Erythroid","ALAS2",0.00588961415952642,0.242130750605327
"12","T-lineage candidate","Erythroid","AHSP",0.0101446210226568,0.484261501210654
"12","T-lineage candidate","Cytotoxic","NKG7",0.161442423199265,13.8014527845036
"12","T-lineage candidate","Cytotoxic","GNLY",0.00651489863932354,0.484261501210654
"12","T-lineage candidate","Cytotoxic","KLRD1",0.00358973281073718,0.242130750605327
"12","T-lineage candidate","Cell cycle","MKI67",0.0653585743852908,4.11622276029056
"12","T-lineage candidate","Cell cycle","TOP2A",0.0378696475473881,2.90556900726392
"12","T-lineage candidate","Cell cycle","UBE2C",0.0269619540928718,1.69491525423729
"13","Myeloid","T lineage","CD3D",0.154563510764185,14.4366197183099
"13","Myeloid","T lineage","CD3E",0.141981127094623,17.2535211267606
"13","Myeloid","T lineage","TRAC",0.0205102792473238,2.8169014084507
"13","Myeloid","T lineage","CD5",0.0163661227329234,4.92957746478873
"13","Myeloid","T lineage","CD7",0.215288262462807,20.7746478873239
"13","Myeloid","Immaturity","DNTT",0.07699195519372,12.3239436619718
"13","Myeloid","Immaturity","PTCRA",0.0423769910872612,7.04225352112676
"13","Myeloid","Immaturity","CD34",0,0
"13","Myeloid","Immaturity","SOX4",0.541587438374269,54.2253521126761
"13","Myeloid","B cell","MS4A1",0,0
"13","Myeloid","B cell","CD79A",0.0561014747804683,8.45070422535211
"13","Myeloid","B cell","CD79B",0.0953959613166742,13.3802816901408
"13","Myeloid","Myeloid","LYZ",2.66231847355631,96.830985915493
"13","Myeloid","Myeloid","LST1",1.61877632543558,96.1267605633803
"13","Myeloid","Myeloid","FCN1",2.52484430734799,95.7746478873239
"13","Myeloid","pDC","CLEC4C",0.00318269528399617,0.704225352112676
"13","Myeloid","pDC","LILRA4",0.00121218713913732,0.352112676056338
