"pathway","gene","shared_with_bulk_same_pathway","in_sc_mitophagy_leading_edge","in_sc_proteasome_leading_edge","in_curated_STAT5_target_sets","logFC","PValue","FDR","rank_stat"
"Spliceosome","BUD31",TRUE,FALSE,FALSE,FALSE,0.284644101390154,0.493317879574097,0.999578157159551,0.720778143438325
"Spliceosome","DDX5",FALSE,FALSE,FALSE,FALSE,0.269811663040531,0.495909504395397,0.999578157159551,0.716315961973121
"Spliceosome","PRPF6",TRUE,FALSE,FALSE,FALSE,0.24889114527066,0.497310456011126,0.999578157159551,0.713911888547587
"Spliceosome","SF1",FALSE,FALSE,FALSE,FALSE,0.312333536792809,0.498481624769432,0.999578157159551,0.711903377350169
"Spliceosome","LSM2",FALSE,FALSE,FALSE,FALSE,0.235866426730713,0.504371941921151,0.999578157159551,0.701854319361968
"Spliceosome","SF3A3",FALSE,FALSE,FALSE,FALSE,0.241727293619291,0.51016111693042,0.999578157159551,0.692053122631154
"Spliceosome","SNRPD2",FALSE,FALSE,FALSE,FALSE,0.228961167502004,0.539158372750048,0.999578157159551,0.643962761548548
"Spliceosome","SRSF5",FALSE,FALSE,FALSE,FALSE,0.214566422750134,0.555657738565913,0.999578157159551,0.61730672919178
"Spliceosome","SNRPC",FALSE,FALSE,FALSE,FALSE,0.238109867701295,0.562223209008413,0.999578157159551,0.606831498906564
"Spliceosome","NCBP1",FALSE,FALSE,FALSE,FALSE,0.268989299966787,0.573496514507381,0.999578157159551,0.58904516163744
"Spliceosome","SF3A2",FALSE,FALSE,FALSE,FALSE,0.196958111347742,0.582393626233568,0.999578157159551,0.57508693126707
"Spliceosome","LSM3",FALSE,FALSE,FALSE,FALSE,0.188671835657719,0.59134149945608,0.999578157159551,0.561206632766753
"Spliceosome","RBM8A",TRUE,FALSE,FALSE,FALSE,0.257585310784644,0.593173867310541,0.999578157159551,0.558377438783951
"Spliceosome","HNRNPM",FALSE,FALSE,FALSE,FALSE,0.18339942483909,0.594726859705126,0.999578157159551,0.555984260917307
"Spliceosome","HNRNPU",FALSE,FALSE,FALSE,FALSE,0.192523565408411,0.596210580325699,0.999578157159551,0.553701141444369
"Spliceosome","SNRPG",TRUE,FALSE,FALSE,FALSE,0.212728199740266,0.597663932729647,0.999578157159551,0.55146837093204
"Spliceosome","TRA2B",TRUE,FALSE,FALSE,FALSE,0.199482170819775,0.602417958082699,0.999578157159551,0.544183318409014
"Spliceosome","U2SURP",FALSE,FALSE,FALSE,FALSE,0.162820347276151,0.625407647303011,0.999578157159551,0.509388237622874
"Spliceosome","CCDC12",TRUE,FALSE,FALSE,FALSE,0.181192896030713,0.63054166978427,0.999578157159551,0.501710938525571
"Spliceosome","SMNDC1",FALSE,FALSE,FALSE,FALSE,0.210687048653047,0.63404662335318,0.999578157159551,0.496488908376084
"Spliceosome","PCBP1",FALSE,FALSE,FALSE,FALSE,0.158979738198464,0.640956621729592,0.999578157159551,0.486234760705646
"Spliceosome","PRPF38B",FALSE,FALSE,FALSE,FALSE,0.158953993430849,0.656170455759047,0.999578157159551,0.46385532614382
"Spliceosome","AQR",FALSE,FALSE,FALSE,FALSE,0.18408129912579,0.665850659289173,0.999578157159551,0.449756859045468
"Spliceosome","ZMAT2",TRUE,FALSE,FALSE,FALSE,0.150704780743061,0.667335966631697,0.999578157159551,0.447593979018739
"Spliceosome","MAGOHB",TRUE,FALSE,FALSE,FALSE,0.214222452117095,0.678516201422942,0.999578157159551,0.431481020641509
