"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TRAF2","potential_malignant_T_cells_CNV_high_top25",0.0922023131917009,3.41563522222279,0.0282488571200505,0.871030040709694,0.999578157159551,0.168073963242528
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","UBA52","potential_malignant_T_cells_CNV_high_top25",0.326954282183154,10.1721807549662,0.71188796465617,0.425409696062963,0.999578157159551,0.843734534469326
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","UBB","potential_malignant_T_cells_CNV_high_top25",0.0506565699768753,9.52480035445435,0.0203678637359659,0.890346523864096,0.999578157159551,0.142716024804385
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","UBC","potential_malignant_T_cells_CNV_high_top25",0.340544786164034,10.835809064682,0.646589679311859,0.446546146527172,0.999578157159551,0.804108002268264
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","ULK1","potential_malignant_T_cells_CNV_high_top25",-0.0589321642260851,5.58462217370959,0.0249216140041811,0.878811116869286,0.999578157159551,-0.157865810117901
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","USP15","potential_malignant_T_cells_CNV_high_top25",0.188678087427186,7.93173632980382,0.123908137350641,0.734706355325844,0.999578157159551,0.352005876869464
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","USP30","potential_malignant_T_cells_CNV_high_top25",0.161598123513478,3.64528525739747,0.0973604162604853,0.763705757294102,0.999578157159551,0.312026307000684
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","USP8","potential_malignant_T_cells_CNV_high_top25",-0.184834689912616,6.2072477759591,0.254362461616644,0.62877928990075,0.999578157159551,-0.50434359480085
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","VCP","potential_malignant_T_cells_CNV_high_top25",-0.242377166896367,7.52728749127387,0.42139580030957,0.535982619146348,0.999578157159551,-0.649150059931885
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","ADRM1","potential_malignant_T_cells_CNV_high_top25",0.675946473621344,6.5898648067786,3.46587775558578,0.102923273666661,0.999578157159551,1.86168680383833
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","POMP","potential_malignant_T_cells_CNV_high_top25",0.508297494570785,7.52290413084326,1.3718986615083,0.278035165198524,0.999578157159551,1.17128077825443
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA1","potential_malignant_T_cells_CNV_high_top25",-0.0763304671013536,7.47842183589714,0.046226381245024,0.835606490058128,0.999578157159551,-0.215003212173735
