"analysis_population","gene","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","RCN3",1.1386616207616,2.42201277758529,2.69578266794358,0.140550723257012,0.999578157159551,1.64188387772814
"potential malignant T cells (CNV-high top 25%)","NUDT10",-1.19895901708497,2.68182121854343,2.69432267467836,0.149182447633679,0.999578157159551,-1.64143920834077
"potential malignant T cells (CNV-high top 25%)","NKD2",0.857817107794902,3.96466412167119,2.69405513075237,0.142707089923238,0.999578157159551,1.64135770956619
"potential malignant T cells (CNV-high top 25%)","ARL11",-1.74274939752056,2.16526028039792,2.69403619252379,0.141064969066377,0.999578157159551,-1.64135194048193
"potential malignant T cells (CNV-high top 25%)","PGK1",0.880328677789861,8.694656134888,2.69327875130734,0.142712395821412,0.999578157159551,1.64112118727026
"potential malignant T cells (CNV-high top 25%)","ZNF419",-0.991963510600862,2.75920646827499,2.69299268147835,0.142583756783852,0.999578157159551,-1.64103402812932
"potential malignant T cells (CNV-high top 25%)","AGO2",0.731897400094586,5.59179239143321,2.69131214835602,0.142847987611267,0.999578157159551,1.64052191340318
"potential malignant T cells (CNV-high top 25%)","ZNF700",-0.94725596291118,2.78830343851295,2.69106575286104,0.143056996752358,0.999578157159551,-1.6404468150053
"potential malignant T cells (CNV-high top 25%)","IGKV3-15",-1.36274319396239,7.17807108880827,2.69065140949549,0.154546442095238,0.999578157159551,-1.64032052035433
"potential malignant T cells (CNV-high top 25%)","RASGRP1",1.32335658498133,6.76855252138279,2.68992149815727,0.146848236715612,0.999578157159551,1.64009801480194
"potential malignant T cells (CNV-high top 25%)","PLA2G6",-0.741524465684857,4.31949680466492,2.68958105818096,0.143004689152995,0.999578157159551,-1.639994225045
"potential malignant T cells (CNV-high top 25%)","CACNA1C-AS2",-1.09215657038214,3.44369889172699,2.68693745260307,0.136896363522096,0.999578157159551,-1.63918804674847
"potential malignant T cells (CNV-high top 25%)","TPM3",0.679167790511233,9.43797566612018,2.68299528212612,0.143370591252888,0.999578157159551,1.63798512878662
"potential malignant T cells (CNV-high top 25%)","DUS1L",0.549316636679703,6.43442863645895,2.67797225972201,0.143696648620005,0.999578157159551,1.63645111742515
"potential malignant T cells (CNV-high top 25%)","ESF1",0.840454502815425,5.04630873926074,2.67759005232639,0.143778789142217,0.999578157159551,1.63633433390808
"potential malignant T cells (CNV-high top 25%)","SMIM30",0.7406684830099,4.4722164947453,2.67714448300395,0.143816453373778,0.999578157159551,1.63619817962371
"potential malignant T cells (CNV-high top 25%)","ACYP1",-0.869361399899441,5.0504773524578,2.67072866354078,0.144195891515387,0.999578157159551,-1.63423641604903
"potential malignant T cells (CNV-high top 25%)","ITGAV",-1.31607948582484,3.09984161741461,2.66952973234818,0.144453979695994,0.999578157159551,-1.63386955793545
